Dimensions,Dim Count,Build Time,Avg Speedup,Avg Results,Tree Depth
l_partkey-l_extendedprice,2,0.055132150650024414,787.6786095490993,0.0,13
l_extendedprice-l_discount,2,0.01783585548400879,354.3042079930415,0.0,13
l_orderkey-l_linenumber,2,0.018738985061645508,341.44427702964293,0.0,13
l_orderkey-l_suppkey-l_linenumber,3,0.02134108543395996,338.22698785742267,0.0,13
l_partkey-l_suppkey-l_linenumber-l_extendedprice,4,0.018949031829833984,337.39853621737683,0.0,13
l_orderkey-l_suppkey-l_quantity-l_extendedprice,4,0.018038034439086914,337.0255348516218,0.0,13
l_orderkey-l_partkey-l_extendedprice,3,0.016025066375732422,333.51023646071707,0.0,13
l_orderkey-l_partkey-l_quantity,3,0.014430999755859375,332.2775743707094,0.0,13
l_orderkey-l_partkey-l_quantity-l_discount,4,0.017392873764038086,330.0605170387779,0.0,13
l_linenumber-l_extendedprice,2,0.01753997802734375,327.9632804232804,0.0,13
l_orderkey-l_partkey-l_linenumber,3,0.037972211837768555,326.74920634920636,0.0,13
l_orderkey-l_suppkey-l_extendedprice,3,0.020694732666015625,326.0513676283388,0.0,13
l_orderkey-l_linenumber-l_quantity,3,0.019114017486572266,324.3383969728242,0.0,13
l_orderkey-l_suppkey-l_linenumber-l_discount,4,0.02019476890563965,322.3792270531401,0.0,13
l_quantity-l_extendedprice,2,0.013293743133544922,321.9512488436633,0.0,13
l_partkey-l_linenumber-l_extendedprice,3,0.0192568302154541,318.2954638499959,0.0,13
l_linenumber-l_quantity-l_extendedprice,3,0.017453670501708984,317.004991087344,0.0,13
l_orderkey-l_extendedprice-l_discount,3,0.019980907440185547,316.5292253622562,0.0,13
l_suppkey-l_quantity-l_extendedprice,3,0.01884174346923828,315.7958132045089,0.0,13
l_suppkey-l_linenumber-l_quantity-l_extendedprice,4,0.018524885177612305,315.3232759211301,0.0,13
l_orderkey-l_quantity-l_extendedprice,3,0.017078161239624023,315.02104899930987,0.0,13
l_orderkey-l_linenumber-l_extendedprice,3,0.019796133041381836,309.6334524931909,0.0,13
l_orderkey-l_partkey-l_suppkey-l_linenumber,4,0.016267061233520508,305.1557425801463,0.0,13
l_quantity-l_discount,2,0.01617121696472168,303.38155388471176,0.0,13
l_linenumber-l_extendedprice-l_discount,3,0.020771265029907227,302.9641750841751,0.0,13
l_orderkey-l_linenumber-l_discount,3,0.020632028579711914,302.68571825893474,0.0,13
l_orderkey-l_partkey-l_linenumber-l_quantity,4,0.01726984977722168,302.14810588708895,0.0,13
l_orderkey-l_linenumber-l_quantity-l_discount,4,0.018131256103515625,301.6631746031746,0.0,13
l_orderkey-l_suppkey-l_quantity-l_discount,4,0.019861936569213867,300.4832263874817,0.0,13
l_orderkey-l_suppkey-l_quantity,3,0.01845240592956543,299.05757575757576,0.0,13
l_orderkey-l_extendedprice,2,0.01700305938720703,297.8771566597654,0.0,13
l_orderkey-l_quantity,2,0.03598499298095703,297.304244774833,0.0,13
l_partkey-l_suppkey-l_quantity-l_extendedprice,4,0.018618106842041016,296.3465649963689,0.0,13
l_orderkey-l_partkey-l_linenumber-l_discount,4,0.0169830322265625,296.0419634815361,0.0,13
l_partkey-l_linenumber-l_quantity,3,0.018520832061767578,296.03101067168865,0.0,13
l_orderkey-l_partkey-l_quantity-l_extendedprice,4,0.015969038009643555,295.7730158730159,0.0,13
l_linenumber-l_discount,2,0.020308971405029297,295.35603561855436,0.0,13
l_partkey-l_suppkey-l_quantity,3,0.018303871154785156,295.0121212121212,0.0,13
l_orderkey-l_partkey-l_suppkey,3,0.01588892936706543,293.5935960591133,0.0,13
l_orderkey-l_discount,2,0.02039504051208496,293.02104924068107,0.0,13
l_partkey-l_suppkey-l_linenumber-l_quantity,4,0.01819610595703125,291.3188632956249,0.0,13
l_orderkey-l_suppkey-l_discount,3,0.019216060638427734,290.8824656299301,0.0,13
l_suppkey-l_linenumber-l_extendedprice-l_discount,4,0.018565893173217773,289.86245729352345,0.0,13
l_orderkey-l_suppkey-l_extendedprice-l_discount,4,0.019118070602416992,288.09710951574306,0.0,13
l_partkey-l_suppkey-l_quantity-l_discount,4,0.018483877182006836,287.05382395382395,0.0,13
l_orderkey-l_quantity-l_discount,3,0.018931865692138672,284.6296439532543,0.0,13
l_suppkey-l_extendedprice-l_discount,3,0.0184478759765625,282.7484053216694,0.0,13
l_orderkey-l_partkey-l_linenumber-l_extendedprice,4,0.017082929611206055,281.53733957936856,0.0,13
l_suppkey-l_linenumber-l_discount,3,0.019628047943115234,281.39549168586194,0.0,13
l_suppkey-l_linenumber-l_extendedprice,3,0.019993066787719727,281.3004720406681,0.0,13
l_orderkey-l_partkey-l_suppkey-l_discount,4,0.017894983291625977,281.0256038647343,0.0,13
l_partkey-l_linenumber-l_quantity-l_extendedprice,4,0.017924785614013672,280.5359116589625,0.0,13
l_suppkey-l_quantity-l_discount,3,0.018370866775512695,279.4464311315924,0.0,13
l_partkey-l_linenumber-l_quantity-l_discount,4,0.018339872360229492,278.83606654783125,0.0,13
l_linenumber-l_quantity,2,0.014946222305297852,278.4463326071169,0.0,13
l_orderkey-l_partkey-l_discount,3,0.018288135528564453,276.2861552028219,0.0,13
l_partkey-l_suppkey-l_extendedprice-l_discount,4,0.019128799438476562,274.01213282247767,0.0,13
l_orderkey-l_suppkey-l_linenumber-l_extendedprice,4,0.045001983642578125,272.9744066780941,0.0,13
l_orderkey-l_suppkey,2,0.019317626953125,269.80729550479,0.0,13
l_partkey-l_quantity-l_discount,3,0.018168926239013672,269.0913100312589,0.0,13
l_suppkey-l_linenumber-l_quantity-l_discount,4,0.01971888542175293,268.5085802169338,0.0,13
l_orderkey-l_linenumber-l_quantity-l_extendedprice,4,0.037384986877441406,268.4358718032885,0.0,13
l_quantity-l_extendedprice-l_discount,3,0.018085956573486328,268.1798754174641,0.0,13
l_partkey-l_suppkey-l_linenumber-l_discount,4,0.01958608627319336,267.9065536723164,0.0,13
l_partkey-l_quantity-l_extendedprice,3,0.018158912658691406,267.34285967666125,0.0,13
l_partkey-l_linenumber,2,0.01922774314880371,264.46301365055973,0.0,13
l_partkey-l_linenumber-l_extendedprice-l_discount,4,0.018770217895507812,264.02084656084656,0.0,13
l_partkey-l_discount,2,0.06574010848999023,262.92710144927537,0.0,13
l_partkey-l_linenumber-l_discount,3,0.0378880500793457,262.73882802990784,0.0,13
l_orderkey-l_partkey-l_extendedprice-l_discount,4,0.016593217849731445,259.98685790782173,0.0,13
l_orderkey-l_quantity-l_extendedprice-l_discount,4,0.018047094345092773,259.7218844984803,0.0,13
l_partkey-l_quantity-l_extendedprice-l_discount,4,0.019487380981445312,258.4198893698894,0.0,13
l_partkey-l_suppkey-l_linenumber,3,0.018703937530517578,258.09042303417203,0.0,13
l_suppkey-l_quantity,2,0.029479026794433594,257.75944910453603,0.0,13
l_partkey-l_suppkey-l_discount,3,0.01990795135498047,256.7059748427673,0.0,13
l_orderkey-l_suppkey-l_linenumber-l_quantity,4,0.019393205642700195,251.71020777438073,0.0,13
l_suppkey-l_quantity-l_extendedprice-l_discount,4,0.01895308494567871,250.50721414981663,0.0,13
l_partkey-l_extendedprice-l_discount,3,0.019404888153076172,249.96119281045753,0.0,13
l_linenumber-l_quantity-l_discount,3,0.019238948822021484,248.8134328358209,0.0,13
l_orderkey-l_partkey-l_suppkey-l_quantity,4,0.017313003540039062,246.44130139012125,0.0,13
l_orderkey-l_partkey,2,0.013170957565307617,240.09928161928164,0.0,13
l_orderkey-l_linenumber-l_quantity-l_tax,4,0.018902063369750977,231.40153769841268,0.0,13
l_suppkey-l_extendedprice,2,0.021787166595458984,229.57455809140234,0.0,13
l_orderkey-l_partkey-l_quantity-l_tax,4,0.015643835067749023,217.3057152685636,0.0,13
l_suppkey-l_linenumber-l_quantity,3,0.018107891082763672,216.135348583878,0.0,13
l_orderkey-l_partkey-l_discount-l_tax,4,0.016819000244140625,211.67409114183306,0.0,13
l_partkey-l_linenumber-l_discount-l_tax,4,0.01936507225036621,211.2484823713637,0.0,13
l_partkey-l_suppkey-l_extendedprice,3,0.020642995834350586,209.7487349515154,0.0,13
l_linenumber-l_quantity-l_extendedprice-l_discount,4,0.018191099166870117,206.39033887311666,0.0,13
l_orderkey-l_partkey-l_suppkey-l_extendedprice,4,0.016695261001586914,202.34592454400467,0.0,13
l_orderkey-l_linenumber-l_extendedprice-l_discount,4,0.018426179885864258,201.50743348982783,0.0,13
l_suppkey-l_linenumber,2,0.02291107177734375,199.99968768406202,0.0,13
l_orderkey-l_quantity-l_discount-l_tax,4,0.017914772033691406,199.8126208229771,0.0,13
l_suppkey-l_discount,2,0.05725502967834473,199.28634588314597,0.0,13
l_orderkey-l_suppkey-l_linenumber-l_tax,4,0.018251895904541016,198.83901515151516,0.0,13
l_partkey-l_suppkey-l_linenumber-l_tax,4,0.018177032470703125,197.52419268510258,0.0,13
l_orderkey-l_suppkey-l_discount-l_tax,4,0.018913745880126953,195.77628185652176,0.0,13
l_linenumber-l_extendedprice-l_discount-l_tax,4,0.020019054412841797,194.25749422147223,0.0,13
l_orderkey-l_suppkey-l_extendedprice-l_tax,4,0.018110036849975586,192.81364131722341,0.0,13
l_orderkey-l_partkey-l_extendedprice-l_tax,4,0.01735091209411621,191.47802611732763,0.0,13
l_orderkey-l_linenumber-l_tax,3,0.018404006958007812,191.36602423680736,0.0,13
l_orderkey-l_partkey-l_suppkey-l_tax,4,0.015982866287231445,189.4567209655238,0.0,13
l_partkey-l_suppkey,2,0.018624067306518555,183.24834307992205,1.0,13
l_linenumber-l_quantity-l_extendedprice-l_tax,4,0.021451950073242188,180.8089087458933,0.0,13
l_linenumber-l_quantity-l_discount-l_tax,4,0.018437862396240234,179.474274691358,0.0,13
l_partkey-l_quantity-l_extendedprice-l_tax,4,0.037435293197631836,174.07664376686114,0.0,13
l_orderkey-l_suppkey-l_tax,3,0.018501996994018555,170.369522545038,0.0,13
l_orderkey-l_partkey-l_linenumber-l_tax,4,0.017425060272216797,169.72761561870473,0.0,13
l_orderkey-l_suppkey-l_quantity-l_tax,4,0.018460988998413086,167.130997390439,0.0,13
l_partkey-l_linenumber-l_quantity-l_tax,4,0.01930689811706543,164.44298581643878,0.0,13
l_partkey-l_quantity-l_discount-l_tax,4,0.018728256225585938,164.17878819803596,0.0,13
l_quantity-l_extendedprice-l_discount-l_tax,4,0.01747584342956543,163.10943145743144,0.0,13
l_suppkey-l_discount-l_tax,3,0.019620180130004883,161.35357717966414,0.0,13
l_orderkey-l_quantity-l_extendedprice-l_tax,4,0.019273042678833008,160.83806230001883,0.0,13
l_linenumber-l_quantity-l_tax,3,0.019999980926513672,160.75858585858586,0.0,13
l_partkey-l_suppkey-l_quantity-l_tax,4,0.0180819034576416,160.7045575197749,0.0,13
l_partkey-l_extendedprice-l_discount-l_tax,4,0.019724130630493164,158.03086419753086,0.0,13
l_orderkey-l_extendedprice-l_discount-l_tax,4,0.019042015075683594,157.5039100684262,0.0,13
l_orderkey-l_extendedprice-l_tax,3,0.0185391902923584,155.61017194792433,0.0,13
l_partkey-l_suppkey-l_discount-l_tax,4,0.019585847854614258,153.89102564102564,0.0,13
l_partkey-l_linenumber-l_extendedprice-l_tax,4,0.0189969539642334,152.84155559107748,0.0,13
l_partkey-l_quantity,2,0.014240026473999023,152.75355702900006,0.0,13
l_suppkey-l_linenumber-l_tax,3,0.018606185913085938,150.8856490649065,0.0,13
l_suppkey-l_linenumber-l_extendedprice-l_tax,4,0.019484281539916992,148.14202932175488,0.0,13
l_suppkey-l_quantity-l_discount-l_tax,4,0.01825714111328125,147.63314033636615,0.0,13
l_suppkey-l_linenumber-l_discount-l_tax,4,0.01897406578063965,146.59746022679192,0.0,13
l_partkey-l_quantity-l_tax,3,0.016839027404785156,144.72095698182656,0.0,13
l_quantity-l_extendedprice-l_tax,3,0.01663994789123535,143.9774531024531,0.0,13
l_orderkey-l_partkey-l_tax,3,0.01574563980102539,143.28433929458518,0.0,13
l_partkey-l_suppkey-l_extendedprice-l_tax,4,0.01777791976928711,142.27513227513228,0.0,13
l_quantity-l_discount-l_tax,3,0.03694486618041992,141.93814015592025,0.0,13
l_linenumber-l_extendedprice-l_tax,3,0.018159866333007812,140.54461227740796,0.0,13
l_orderkey-l_discount-l_tax,3,0.01949906349182129,139.84435776041076,0.0,13
l_orderkey-l_linenumber-l_extendedprice-l_tax,4,0.02147984504699707,139.64786059351277,0.0,13
l_suppkey-l_extendedprice-l_discount-l_tax,4,0.019397974014282227,135.87404898210877,0.0,13
l_suppkey-l_linenumber-l_quantity-l_tax,4,0.01834702491760254,133.47270235006084,0.0,13
l_orderkey-l_quantity-l_tax,3,0.016859054565429688,133.0072261072261,0.0,13
l_suppkey-l_quantity-l_extendedprice-l_tax,4,0.017979860305786133,130.90128935644316,0.0,13
l_linenumber-l_discount-l_tax,3,0.01938462257385254,129.9343117505995,0.0,13
l_suppkey-l_quantity-l_tax,3,0.018030166625976562,126.3061618756016,0.0,13
l_orderkey-l_linenumber-l_discount-l_tax,4,0.019948720932006836,125.31538624338623,0.0,13
l_partkey-l_discount-l_tax,3,0.0190887451171875,117.60743609815499,0.0,13
l_partkey-l_linenumber-l_tax,3,0.018342971801757812,117.36810580433907,0.0,13
l_extendedprice-l_discount-l_tax,3,0.018008947372436523,116.62623061859541,0.0,13
l_suppkey-l_extendedprice-l_tax,3,0.018656015396118164,115.85695630829652,0.0,13
l_partkey-l_suppkey-l_tax,3,0.020001649856567383,101.0790310819152,0.6666666666666666,13
l_partkey-l_extendedprice-l_tax,3,0.01800084114074707,87.7120811287478,0.0,13
l_quantity-l_tax,2,0.016957998275756836,75.6562200658518,0.0,13
l_discount-l_tax,2,0.018629789352416992,75.40251566152294,0.0,13
l_orderkey-l_tax,2,0.014837026596069336,68.64885371699468,0.0,13
l_linenumber-l_tax,2,0.015597105026245117,63.311249446657804,1.3333333333333333,13
l_extendedprice-l_tax,2,0.020711898803710938,57.03401310703705,0.0,13
l_suppkey-l_tax,2,0.017405986785888672,40.45463635835362,53.0,13
l_partkey-l_tax,2,0.022649049758911133,25.902929098128713,48.333333333333336,13
